iter	Passed	Remaining
917	2986	266
918	2989	263
919	2993	260
920	2996	257
921	3001	253
922	3005	250
923	3008	247
924	3011	244
925	3015	240
926	3019	237
927	3022	234
928	3025	231
929	3028	227
930	3032	224
931	3035	221
932	3038	218
933	3041	214
934	3045	211
935	3048	208
936	3052	205
937	3055	201
938	3059	198
939	3063	195
940	3066	192
941	3069	189
942	3073	185
943	3077	182
944	3081	179
945	3084	176
946	3088	172
947	3091	169
948	3094	166
949	3098	163
950	3101	159
951	3104	156
952	3107	153
953	3110	150
954	3114	146
955	3117	143
956	3120	140
957	3124	136
958	3127	133
959	3130	130
960	3134	127
961	3137	123
962	3141	120
963	3144	117
964	3147	114
965	3150	110
966	3154	107
967	3157	104
968	3160	101
969	3163	97
970	3166	94
971	3170	91
972	3173	88
973	3178	84
974	3182	81
975	3186	78
976	3189	75
977	3192	71
978	3196	68
979	3199	65
980	3203	62
981	3206	58
982	3210	55
983	3213	52
984	3217	48
985	3220	45
986	3223	42
987	3227	39
988	3231	35
989	3234	32
990	3237	29
991	3241	26
992	3244	22
993	3248	19
994	3251	16
995	3254	13
996	3259	9
997	3262	6
998	3266	3
999	3269	0
